59.010,136.100,0.000
58.875,136.270,0.000
58.765,136.275,0.000
55.510,140.625,0.000
55.365,140.895,0.000
55.200,141.305,0.000
55.045,141.635,0.000
54.915,141.800,0.000
54.790,141.910,0.000
54.680,141.935,0.000
54.575,141.895,0.000
54.460,141.950,0.000
54.335,142.040,0.000
54.210,142.195,0.000
54.085,142.295,0.000
53.985,142.240,0.000
53.885,142.115,0.000
53.795,141.960,0.000
53.685,141.960,0.000
53.550,142.140,0.000
53.445,142.115,0.000
53.335,142.070,0.000
53.215,142.140,0.000
53.110,142.095,0.000
52.990,142.175,0.000
52.855,142.345,0.000
52.740,142.380,0.000
52.645,142.235,0.000
52.550,142.135,0.000
52.435,142.160,0.000
52.330,142.095,0.000
52.235,141.955,0.000
52.140,141.850,0.000
52.020,141.895,0.000
51.905,141.955,0.000
51.800,141.900,0.000
51.695,141.835,0.000
51.585,141.835,0.000
51.465,141.880,0.000
51.345,141.960,0.000
51.215,142.120,0.000
51.100,142.155,0.000
50.995,142.095,0.000
50.890,142.050,0.000
50.785,142.005,0.000
50.670,142.015,0.000
50.555,142.050,0.000
50.435,142.130,0.000
50.310,142.220,0.000
50.190,142.295,0.000
50.065,142.405,0.000
49.955,142.405,0.000
49.850,142.330,0.000
49.765,142.125,0.000
49.660,142.060,0.000
49.540,142.160,0.000
49.430,142.145,0.000
49.325,142.070,0.000
49.220,142.020,0.000
49.110,142.005,0.000
49.005,141.960,0.000
48.890,141.990,0.000
48.770,142.060,0.000
48.670,141.965,0.000
48.575,141.840,0.000
48.470,141.785,0.000
48.360,141.745,0.000
48.255,141.700,0.000
48.145,141.685,0.000
48.030,141.725,0.000
47.910,141.805,0.000
47.790,141.870,0.000
47.665,141.970,0.000
47.540,142.090,0.000
47.435,142.055,0.000
47.335,141.970,0.000
47.220,141.960,0.000
47.110,141.965,0.000
47.005,141.890,0.000
46.910,141.765,0.000
46.805,141.725,0.000
46.685,141.760,0.000
46.580,141.720,0.000
46.450,141.900,0.000
46.305,142.170,0.000
46.200,142.125,0.000
46.110,141.920,0.000
46.015,141.785,0.000
45.910,141.740,0.000
45.775,141.920,0.000
45.645,142.130,0.000
45.540,142.025,0.000
45.455,141.820,0.000
45.350,141.750,0.000
45.245,141.705,0.000
45.125,141.725,0.000
45.000,141.855,0.000
44.885,141.840,0.000
44.785,141.725,0.000
44.680,141.665,0.000
44.555,141.755,0.000
44.425,141.895,0.000
44.305,141.995,0.000
44.185,142.030,0.000
44.080,141.980,0.000
43.970,141.925,0.000
43.860,141.885,0.000
43.750,141.850,0.000
43.640,141.820,0.000
43.530,141.825,0.000
43.410,141.875,0.000
43.285,141.975,0.000
43.160,142.095,0.000
43.050,142.055,0.000
42.950,141.910,0.000
42.845,141.845,0.000
42.725,141.885,0.000
42.620,141.830,0.000
42.525,141.675,0.000
42.420,141.595,0.000
42.305,141.575,0.000
42.190,141.610,0.000
42.075,141.600,0.000
41.960,141.600,0.000
41.840,141.685,0.000
41.720,141.745,0.000
41.600,141.785,0.000
41.490,141.790,0.000
41.380,141.760,0.000
41.265,141.755,0.000
41.155,141.725,0.000
41.035,141.765,0.000
40.930,141.690,0.000
40.835,141.525,0.000
40.720,141.540,0.000
40.600,141.580,0.000
40.475,141.735,0.000
40.340,141.945,0.000
40.220,142.025,0.000
40.115,141.940,0.000
40.015,141.785,0.000
39.905,141.735,0.000
